Sake,SMV,Body,Fruitiness,Floralness,Earthiness,Savoriness,Richness,Acidity,Aged,Juiciness,Nigori,Price_by_gls,Price_by_btl,Prefecture,Style,Image,Notes,Tasting_notes,x,y
Taka_Noble_Arrow,2,2,4,2,1,1,1,3,0,3,0,20,102.0,Yamaguchi,Tokubetsu_Junmai,/images/taka_noble_arrow.jpg,Brewed by Nagayama Takahiro who also studied wine making. He owns a winery and a brewery.,"Melon, lime, mint",2.5656074833918843,-0.17885264507157178
Heiwa_shuzo_Kid,2,3,4,3,1,1,1,2,0,3,0,20,102.0,Wakayama,Junmai_Daiginjo,/images/heiwa_shuzo_kid.jpg,"During World War II, the worsening war situation led the government to order the brewery to suspend operations and use its facilities to house evacuated schoolchildren. Even after the war ended, the brewery was not immediately allowed to resume production. After persistent effort by the 2nd owner, permission to resume brewing was finally granted. The brewery’s name, “Heiwa” (meaning “peace”), reflects this desire to make sake in a peaceful time.","Flower, rice, aloe vera",2.6925849365977865,-0.753115535006034
Suigei_Tokubetsu_Junmai,4,2,1,1,4,3,3,2,0,1,0,19,,Kouchi,Tokubetsu_Junmai,/images/suigei_tokubetsu_junmai.jpg,Named after a real samurai lord who's nick name was drunken whale because he was big and always drunk.,"Fennel, rose",-3.273045519079972,0.4535528508674463
Tamagawa_Red_Label,4,4,3,3,3,4,4,4,0,3,0,19,,Kyoto,Junmai,/images/tamagawa_red_label.jpg,"Brewed by the very first non Japanese master brewer, Philip Harper. It is unpasteurized, uncharcoal filtered, and undiluted. It is also made with the Yamahai method (tradtional method), which causes the yeast to be more tolerant to alcohol. Thus this sake is high ABV (20%). ","Hazelnut, amontillado sherry, birch syrup",-0.4718444170802142,2.798248032213515
Daimon_Road_to_Osaka,3,3,3,3,2,2,2,2,0,2,1,20,102.0,Osaka,Junmai,/images/daimon_road_to_osaka.jpg,"The Daimon Sake Brewery logo has a large gate as its motif. It represents; The gate to the world of sake. The gate of hospitality that is always open. The gate that connects people and nature, and people and people. The gate that creates and protects a path that will last for generations and will continue into the future. The gate that brings good fortune and peace.","Banana, citrus, floral",0.443402475692719,-2.6269452360460144
Tamagawa_Heart_of_Gold,3,3,3,2,2,1,3,2,1,2,0,25,120.0,Kyoto,Daiginjo,/images/tamagawa_heart_of_gold.jpg,Aged in sub-freezing temperature. This prevents the development of oxidative notes often found in aged sake. The fruitiness is retained while the acidity is mellowed out.,,-0.7494295900644524,-1.8793891926552817
Kanbara_Ancient_Treasures,1,5,3,3,3,5,5,3,1,4,0,30,140.0,Niigata,Junmai,/images/kanbara_ancient_treasures.jpg,Aged for 12 years. Funky. Like a madeira sherry. ,"Tofee, olive oil, nuts, honey",1.1257148299868318,4.554084702914146
Imayo_Tsukasa_Black_Extra_Dry,5,3,2,2,4,3,3,2,0,1,0,22,102.0,Niigata,Junmai,/images/imayo_tsukasa_black_extra_dry.jpg,Driest sake in the Minnesota market. Poured in a handful of MICHELIN-starred restaurants in Europe,"Bone dry, apricot, chestnut",-2.3737130549426264,-0.12748380230280482
Mantensei_Star_Filled_Sky,4,4,2,2,3,3,4,2,1,1,0,21,110.0,Tottori,Junmai Ginjo,/images/mantensei_star_filled_sky.jpg,Aged for two years. Tottori is the least populated prefecture in Japan. ,"Apple, fennel, baking spice",-3.1851760981595065,-1.0307931829796304
Kawatsuru_Olive,2,2,3,3,2,2,2,3,0,4,0,20,102.0,Kagawa,Junmai Ginjo,/images/kawatsuru_olive.jpg,Kagawa prefecture is in the south west region of Japan. The climate of Kagawa is very mediterranean. The sake is brewed from yeasts that are isolated from olive flowers grown in Kagawa.,"Melon, flower, pear, brine",1.7711676314926936,0.9762650478244809
Harugokoro_Moromi,2,3,2,2,3,3,3,3,0,4,0,20,102.0,Ishikawa,Junmai,/images/harugokoro_moromi.jpg,"""Moromi"" refers to the fermentation mash of the sake. The two twin cats on the label are ""Moro"" and ""Mi"" that the brewery takes care of. This sake is savory but has a subtle juiciness due to the yeast that they use (the yeast produces malic acid). ","Apple, rice",-0.13718906449453028,1.0786488373189078
Masumi_Ki_Ippon,4,2,3,2,2,2,2,3,0,3,0,20,,Nagano,Junmai Ginjo,/images/masumi_ki_ippon.jpg,"Ki-ippon refers to sake that is only made at a single brewing site, equivalent to a single malt in terms of whisky. Dry but light and slightly fruity sake. ","Dry, apples",0.6933728788710303,0.07556126130414396
Akabu_Junmai,2,3,4,2,1,1,2,3,0,3,0,20,102.0,Iwate,Junmai,/images/akabu_junmai.jpg,"Akabu brewery was once completely destroyed during the 2011 earthquake, being hit by the waves of tsunami. The yeast used is called ""Giovanni's symphony"", a yeast known to produce melon like aroma.","Melon, flower, pear",2.0402339026318637,-0.40233538878727715
Fukucho_Forgotten_Fortune,3,2,3,2,2,1,2,3,0,2,0,20,102.0,Hiroshima,Junmai,/images/fukucho_forgotten_fortune.jpg,"The rice used for this sake is called Hattanso. It is an older variety of rice. It grows tall (over 5ft) which causes it to fall easily, making it hard to grow. It was once near extinct, currently Fukucho is the only brewery that grows and uses it. It is also only pasteurized once. ","Light, crisp",0.7418964461975162,-0.5947598474972909
Wakaze_Nigori,1,3,2,2,1,1,3,3,0,3,1,20,102.0,France,Junmai,/images/wakaze_nigori.jpg,"Brewed in Paris, France. This sake is brewed with French rice called camargue. It is also brewed with a white wine yeast called ""L'elegante"".  ","Melon, banana",2.098149530395549,-2.3620003815993607
Tomita_Shichihonyari,4,3,1,2,4,3,3,2,0,1,0,20,102.0,Shiga,Junmai,/images/tomita_shichihonyari.jpg,Tomita brewery is the third oldest brewery in Japan established in 1534. ,"Mushroom, melon, earth",-2.5372127401267233,0.1296850565545695
Yuho_Eternal_Embers,4,3,2,2,3,3,3,2,0,2,0,20,102.0,Ishikawa,Junmai,/images/yuho_eternal_embers.jpg,"""Yuho"" is how UFO is pronounced in Japanese. Ishikawa prefecture has had records of UFO sightings from the 1700s.","Fig, raisin",-1.4445196313098463,-0.11037057705194432
